query_id	query_length	gc_content	matching_length	status	target_id	sum_normalized_score	disqualifier	Round1_discard	OrphanOverride_discard	Mash_Redundancy_discard	Score_retain	Mash_retain	Size_retain	OrphanRecovery_retain	Unique_retain
ptg000001l	783359	39.451132877773794	168520	ALIGNED_RETAINED	Ch_6	0.08113010765179184		False	False	False	True	True	False	False	False
ptg000002l	2186550	39.33479682605017	1305762	ALIGNED_DISCARDED	Ch_3	0.29559122819052847	ptg000990l	True	False	False	False	False	False	False	False
ptg000003l	10941313	39.28746028927242	3693333	ALIGNED_RETAINED	Ch_2	0.18497258966999663		False	False	False	True	True	True	False	False
ptg000004l	665723	39.838040746676924	468824	ALIGNED_RETAINED	Ch_5	0.35378978944696216		False	False	False	False	False	False	False	True
ptg000005l	995005	38.31196828156642	278730	ALIGNED_RETAINED	Ch_6	0.08318551163059482		False	False	False	True	True	False	False	False
ptg000006l	9269321	38.03323889635497	4826314	ALIGNED_RETAINED	Ch_5	0.2629068515374535		False	False	False	True	True	False	False	False
ptg000007l	718810	37.60687803452929	26513	ALIGNED_RETAINED	Scaffold_6072	0.02926503526662122		False	False	False	False	False	False	False	True
ptg000008l	4768904	39.01661681593926	2516404	ALIGNED_RETAINED	Ch_6	0.19592761775032586		False	False	False	True	True	True	False	False
ptg000009l	1236606	39.186854988573565	487676	ALIGNED_RETAINED	Ch_2	0.16877728233568332		False	False	False	True	True	True	False	False
ptg000010l	3413179	39.38694689027443	2145756	ALIGNED_RETAINED	Ch_10	0.2888116913879993		False	False	False	True	True	True	False	False
ptg000011l	2193625	38.237255684084566	1137489	ALIGNED_RETAINED	Ch_9	0.2778733830987521		False	False	False	True	True	True	False	False
ptg000012l	2030555	39.77823796942215	593069	ALIGNED_DISCARDED	Ch_10	0.09738027288105962	ptg000109l	True	False	False	False	False	False	False	False
ptg000013l	6749159	38.98004180965361	1934009	ALIGNED_RETAINED	Ch_4	0.13652530633816748		False	False	False	True	True	True	False	False
ptg000014l	3093000	41.70333010022632	992427	ALIGNED_DISCARDED	Ch_10	0.1738587132234077	ptg001097l	True	False	False	False	False	False	False	False
ptg000015l	3665631	39.577824390943874	1216401	ALIGNED_DISCARDED	Ch_10	0.11957122798230373	ptg000109l	True	False	False	False	False	False	False	False
ptg000016l	11403132	38.22199023917289	2156233	ALIGNED_DISCARDED	Ch_11	0.07637147408273447	ptg000030l	True	False	False	False	False	False	False	False
ptg000017l	4629425	39.74668560350367	2428262	ALIGNED_RETAINED	Ch_6	0.21021293141156838		False	False	False	True	True	True	False	False
ptg000018l	2378882	38.444529825354934	239860	ALIGNED_DISCARDED	Ch_9	0.05121523471950269	ptg000080l	True	True	False	False	False	False	False	False
ptg000019l	4027180	43.71068588938165	15952	ALIGNED_RETAINED	Scaffold_46	0.003861511032533932		False	False	False	False	True	True	False	False
ptg000020l	766132	40.232362047271224	31668	ALIGNED_DISCARDED	Ch_11	0.02547472237160176	ptg000195l	True	False	False	False	False	False	False	False
ptg000021l	1400036	38.8820001771383	332946	ALIGNED_DISCARDED	Ch_8	0.1129692379338817	ptg000613l	True	False	False	False	False	False	False	False
ptg000022l	1513316	40.24294991925018	19220	ALIGNED_RETAINED	Scaffold_65	0.010929640603813084		False	False	False	True	True	False	False	False
ptg000023l	1344631	40.493860397387834	293423	ALIGNED_RETAINED	Ch_10	0.07757964824550379		False	False	False	True	True	False	False	False
ptg000024l	5892640	38.4305336826957	2848035	ALIGNED_RETAINED	Ch_8	0.2531831233538787		False	False	False	True	True	True	False	False
ptg000025l	1327760	37.77391998553956	57345	ALIGNED_RETAINED	Ch_8	0.02955428691932277		False	False	False	True	True	False	False	False
ptg000026l	3956186	40.359881967126924	1057057	ALIGNED_DISCARDED	Ch_2	0.12967893825012272	ptg000036l	True	False	False	False	False	False	False	False
ptg000027l	4895377	39.10276981731948	1393893	ALIGNED_RETAINED	Ch_9	0.1264572677446497		False	False	False	True	True	False	False	False
ptg000028l	1053217	39.97732660980596	107217	ALIGNED_RETAINED	Scaffold_5509	0.023049381086708627		False	False	False	True	False	False	False	False
ptg000029l	1266032	39.179894347062316	304766	ALIGNED_RETAINED	Ch_6	0.13817976164899465		False	False	False	True	True	False	False	False
ptg000030l	4178476	39.15607029931487	1351018	ALIGNED_RETAINED	Ch_11	0.1818100666367355		False	False	False	True	True	False	False	False
ptg000031l	7013766	39.804892264726256	29942	ALIGNED_RETAINED	Scaffold_5476	0.0024072659395822445		False	False	False	False	False	False	False	True
ptg000032l	8512013	39.62731259926412	272669	ALIGNED_RETAINED	Ch_9	0.019457677050070295		False	False	False	True	True	True	False	False
ptg000033l	1553455	38.952142160538926	37187	ALIGNED_DISCARDED	Ch_10	0.016384768145842655	ptg000362l	True	False	False	False	False	False	False	False
ptg000034l	1042653	38.95083023786437	69498	ALIGNED_RETAINED	Ch_9	0.03249211386722141		False	False	False	True	True	False	False	False
ptg000035l	2296572	41.449952363783936	484818	ALIGNED_RETAINED	Ch_5	0.07260821781333222		False	False	False	True	True	True	False	False
ptg000036l	7041310	37.911070525228965	4913405	ALIGNED_RETAINED	Ch_2	0.38784629564669076		False	False	False	True	True	True	False	False
ptg000037l	467289	41.03135318828391	120653	ALIGNED_DISCARDED	Ch_4	0.1429479401398278	ptg000810l	True	False	False	False	False	False	False	False
ptg000038l	891243	39.164066365738634	15952	ALIGNED_RETAINED	Scaffold_46	0.01758891794942569		False	False	False	True	True	False	False	False
ptg000039l	3512329	40.05103166588324	78173	ALIGNED_RETAINED	Ch_8	0.014084102030305247		False	False	False	False	True	False	False	False
ptg000040l	5517083	38.366089471555895	19629	ALIGNED_RETAINED	Scaffold_65	0.003174684883297931		False	False	False	False	True	True	False	False
ptg000041l	737807	39.553839960856976	14950	ALIGNED_RETAINED	Scaffold_93	0.0164216387212374		False	False	False	True	True	False	False	False
ptg000042l	1304715	39.76784201913828	105725	ALIGNED_RETAINED	Ch_9	0.05736195261034019		False	False	False	True	True	True	False	False
ptg000043l	4618899	38.620957072237346	1612849	ALIGNED_RETAINED	Ch_5	0.1099370217880928		False	False	False	True	True	False	False	False
ptg000044l	6771147	38.911236161318016	466204	ALIGNED_RETAINED	Ch_7	0.030061967344675873		False	False	False	False	True	True	False	False
